provider_name,about_organizer,price,address,phone,region,city
Caricaturiste,Information non trouvée,399 euros,"18, rue Pougère Chadrat  63450 ST SATURNIN",['Tél. : 0609823969'],Île-de-France,Paris
BandSound - Orchestre Live,Information non trouvée,1100,150 Impasse des Chênes  07150 LABASTIDE-DE-VIRAC,['Tél. : 0624483913'],Île-de-France,Paris
Traiteur barbecue argentin,Information non trouvée,35 euros,6 passage Lavoisier  69300 CALUIRE-ET-CUIRE,['Tél. : 06 07 26 56 84'],Île-de-France,Paris
L'animation silhouettiste : Transformez votre événement en un moment inoubliable,Information non trouvée,300,34 rue des tables claudiennes  69001 LYON,[],Île-de-France,Paris
Caricatures évènements d'entreprises,Information non trouvée,,,[],Île-de-France,Paris
Spectacle déambulatoire cirque : bOOst,Information non trouvée,,63230 PONTGIBAUD,['Tél. : 0630371426'],Île-de-France,Paris
Déambulation échassiers blancs,Information non trouvée,,63230 PONTGIBAUD,['Tél. : 0630371426'],Île-de-France,Paris
L'animation dansante,Information non trouvée,400,Issoire  63500 ISSOIRE,['Tél. : 0631543119'],Île-de-France,Paris
Entre Nous Show Live (ENSL),Information non trouvée,Sur demande / adaptable,99 avenue des Pins  Pavillon 10,['Tél. : 0689861871'],Île-de-France,Paris
Signature,Information non trouvée,3900 €,99 avenue des Pins  Pavillon 10,['Tél. : 0689861871'],Île-de-France,Paris
Electrique Circus,Information non trouvée,1000,99 avenue des Pins  Pavillon 10,['Tél. : 0689861871'],Île-de-France,Paris
Spectacles vivants et animation de repas,Information non trouvée,250 euros,8 route de Ginestas  Clos de la bascule,['Tél. : 0681400314'],Île-de-France,Paris
Team Building magique,Information non trouvée,1500,3 bis rue de la roseraie  3 BIS,['Tél. : +33677596377'],Île-de-France,Paris
Spectacle : Back to 1930,Information non trouvée,,,['Tél. : 06 27 49 43 31'],Île-de-France,Paris
Y-Lanta,Information non trouvée,30€,4 rue Saint François de Sales  74000 ANNECY,['Tél. : 0951613143'],Île-de-France,Paris
Murder Party,Information non trouvée,30,4 rue Saint François de Sales  74000 ANNECY,['Tél. : 0951613143'],Île-de-France,Paris
"Organisation de vos évènements privés (mariage, anniversaire etc...)",Information non trouvée,,,['Tél. : 0684931808'],Île-de-France,Paris
Organisation de votre mariage,Information non trouvée,2000€,25 rue Frédéric Mistral  69300 CALUIRE ET CUIRE,['Tél. : 0684931808'],Île-de-France,Paris
Organisation de vos évènements professionnels,Information non trouvée,,,['Tél. : 0684931808'],Île-de-France,Paris
Animation sucette pour Particuliers et Entreprises,Information non trouvée,,,['Tél. : 0652313326'],Île-de-France,Paris
Animation caricature,Information non trouvée,500,438 avenue edouard Herriot  73800 MONTMELIAN,['Tél. : 0663543061'],Île-de-France,Paris
"Spectacle ""Frontière"" de magie et mentalisme",Information non trouvée,,,['Tél. : 0632548996'],Île-de-France,Paris
Conception stand pour salon professionnel,Information non trouvée,Sur devis,133 Chemin de Beauversant  69230 SAINT-GENIS-LAVAL,['Tél. : 0428296388'],Île-de-France,Paris
Location et vente écran géant LED,Information non trouvée,Devis sur demande - prix variable selon lieu/taille de l'écran/durée,133 Chemin de Beauversant  69230 SAINT-GENIS-LAVAL,['Tél. : 0428296388'],Île-de-France,Paris
Animation accordéon New Guinguette - Swing,Information non trouvée,,,['Tél. : 0660540778'],Île-de-France,Paris
​Vos boissons à présenter à vos invités de manière inédite et originale,Information non trouvée,845€,157 Chemin Saint-Martin  73240 CHAMPAGNEUX,['Tél. : 0624018207'],Île-de-France,Paris
L'essentiel,Information non trouvée,750,Clos les Sarrazins  69620 LEGNY,['Tél. : 0660964475'],Île-de-France,Paris
Escape game mobil et éphémère,Information non trouvée,,,['Tél. : 0688494870'],Île-de-France,Paris
Master Class à distance,Information non trouvée,39 € /pers.,"10, rue Albert Samain  74000 ANNECY",['Tél. : 0672611229'],Île-de-France,Paris
